title,description,labels,weight,milestone,issue_type,backlog_key,jira_backlog_parent
[LZT-S01] Deploy AWX OSS instance,"Stand up new AWX (K8s or VM per standard). TLS, backup, admin access. No production workloads until inventories ready.

---
BacklogKey: LZT-S01
Jira-Backlog-Key: LZT-S01
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 40
Architecture: docs/ in workstation-environment","phase::p0,story,area::awx",8,LZT-P0,issue,LZT-S01,LZT-E1
[LZT-S02] AWX configuration as code project,"Create awx-config GitLab project: job templates, credentials refs, inventories definitions.

---
BacklogKey: LZT-S02
Jira-Backlog-Key: LZT-S02
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p0,story,area::awx",5,LZT-P0,issue,LZT-S02,LZT-E1
[LZT-S03] Consume goldimage playbooks by version pin,"Import goldimage as Ansible project/collection; pin tag; job for SSH+YubiKey admin baseline.

---
BacklogKey: LZT-S03
Jira-Backlog-Key: LZT-S03
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p0,story,area::awx",3,LZT-P0,issue,LZT-S03,LZT-E1
[LZT-S04] Pilot inventory and RBAC model,"Groups linux_pilot, linux_prod, platform; least-privilege AWX teams.

---
BacklogKey: LZT-S04
Jira-Backlog-Key: LZT-S04
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p0,story,area::awx",3,LZT-P0,issue,LZT-S04,LZT-E1
[LZT-S05] Submit Entra/PKI request catalog week 1,"File REQ-ENTRA-* and REQ-PKI-* from docs/implementation/entra-access-requests.md; track blockers.

---
BacklogKey: LZT-S05
Jira-Backlog-Key: LZT-S05
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p0,story,area::entra,area::pki",5,LZT-P0,issue,LZT-S05,LZT-E1
[LZT-S06] Import Jira and GitLab backlogs,"Execute docs/project import packs; fill crosswalk.

---
BacklogKey: LZT-S06
Jira-Backlog-Key: LZT-S06
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 8
Architecture: docs/ in workstation-environment","phase::p0,story,area::docs",2,LZT-P0,issue,LZT-S06,LZT-E1
[LZT-S07] Optional AWX Entra SSO app registration,"REQ-ENTRA-01; configure OIDC SSO when approved.

---
BacklogKey: LZT-S07
Jira-Backlog-Key: LZT-S07
Jira-Epic: LZT-E1
Jira: (fill after Jira import)
Estimate Hours: 16
Architecture: docs/ in workstation-environment","phase::p0,story,area::entra,area::awx",3,LZT-P0,issue,LZT-S07,LZT-E1
[LZT-S08] Trust agent MVP (status.json + timer),"systemd service/timer; schema v1; package via Ansible role.

---
BacklogKey: LZT-S08
Jira-Backlog-Key: LZT-S08
Jira-Epic: LZT-E2
Jira: (fill after Jira import)
Estimate Hours: 40
Architecture: docs/ in workstation-environment","phase::p1,story,area::intune",8,LZT-P1,issue,LZT-S08,LZT-E2
[LZT-S09] Intune Linux enrollment runbook + packages,"Document enrollment; AWX role for portal/broker/edge deps; pilot enroll N hosts.

---
BacklogKey: LZT-S09
Jira-Backlog-Key: LZT-S09
Jira-Epic: LZT-E2
Jira: (fill after Jira import)
Estimate Hours: 24
Architecture: docs/ in workstation-environment","phase::p1,story,area::intune",5,LZT-P1,issue,LZT-S09,LZT-E2
[LZT-S10] Custom compliance discovery + JSON rules,"REQ-ENTRA-05; report-only assignment to pilot; map status.json fields.

---
BacklogKey: LZT-S10
Jira-Backlog-Key: LZT-S10
Jira-Epic: LZT-E2
Jira: (fill after Jira import)
Estimate Hours: 32
Architecture: docs/ in workstation-environment","phase::p1,story,area::intune,area::entra",8,LZT-P1,issue,LZT-S10,LZT-E2
