Issue Type,Summary,Description,Epic Name,Epic Link,Parent,Priority,Labels,Story Points,External ID
Epic,"[LTZ-E0] Phase 0 — Foundations (AWX, repos, goldimage)","Deploy new AWX, GitLab repos, integrate goldimage SSH/YubiKey baselines, agile imports.

Epic Key: LTZ-E0
Phase: 0
GitLab label: epic::LTZ-E0
Estimate story points (rollup target): 40
See docs/implementation/COST_ESTIMATES.md",LTZ-E0,,,High,"ltz,phase-0",40,LTZ-E0
Epic,[LTZ-E1] Phase 1 — Device trust & TPM Entra CBA,"Intune Linux, trust agent, TPM-CBA no-USB, Conditional Access pilot.

Epic Key: LTZ-E1
Phase: 1
GitLab label: epic::LTZ-E1
Estimate story points (rollup target): 105
See docs/implementation/COST_ESTIMATES.md",LTZ-E1,,,High,"ltz,phase-1",105,LTZ-E1
Epic,[LTZ-E1B] Phase 1b — Workload MS CA certificates,"Workload intermediate, agent certs, reduce static secrets / service account privilege.

Epic Key: LTZ-E1B
Phase: 1b
GitLab label: epic::LTZ-E1B
Estimate story points (rollup target): 40
See docs/implementation/COST_ESTIMATES.md",LTZ-E1B,,,Medium,"ltz,phase-1b",40,LTZ-E1B
Epic,[LTZ-E2] Phase 2 — SPIRE workload identity fabric,"SPIRE HA, UpstreamAuthority, server/k8s agents, pilot mTLS.

Epic Key: LTZ-E2
Phase: 2
GitLab label: epic::LTZ-E2
Estimate story points (rollup target): 60
See docs/implementation/COST_ESTIMATES.md",LTZ-E2,,,Medium,"ltz,phase-2",60,LTZ-E2
Epic,[LTZ-E3] Phase 3 — Federation & GA,"Entra workload federation, expand CA, GA evidence.

Epic Key: LTZ-E3
Phase: 3
GitLab label: epic::LTZ-E3
Estimate story points (rollup target): 35
See docs/implementation/COST_ESTIMATES.md",LTZ-E3,,,Medium,"ltz,phase-3",35,LTZ-E3
Epic,"[LTZ-EX] Cross-cutting — Entra REQs, governance, PM","REQ-E catalog execution support, architecture, agile hygiene.

Epic Key: LTZ-EX
Phase: X
GitLab label: epic::LTZ-EX
Estimate story points (rollup target): 45
See docs/implementation/COST_ESTIMATES.md",LTZ-EX,,,Medium,"ltz,phase-X",45,LTZ-EX
Story,[LTZ-S001] Deploy AWX open-source instance,"Deploy new AWX (OSS) with backup, RBAC, network access to managed hosts and CA endpoints. Isolated from unrelated automation if required.

Estimate: 40h (P0-01)
Repo: zt-awx-config, infra as code as applicable
DoD: AWX healthy; admin access documented; restore tested once.

Story: LTZ-S001
Epic: LTZ-E0
GitLab issue: see imports/gitlab (title contains LTZ-S001)
Phase: 0",LTZ-E0,LTZ-E0,,High,"ltz,phase-0,awx,platform",10,LTZ-S001
Story,[LTZ-S002] Create GitLab repos and CI lint,"Create zt-awx-config and zt-spire-config; ansible-lint/yaml CI; protect main; MR required.

Estimate: 16h (P0-02)
Links: workstation-environment docs

Story: LTZ-S002
Epic: LTZ-E0
GitLab issue: see imports/gitlab (title contains LTZ-S002)
Phase: 0",LTZ-E0,LTZ-E0,,High,"ltz,phase-0,gitlab,ci",4,LTZ-S002
Story,[LTZ-S003] Integrate goldimage baseline job,"Add AWX project for goldimage (SSH + YubiKey admin baselines). Job template runs/asserts before ZT packs.

Estimate: 16h (P0-03)
Repo: goldimage

Story: LTZ-S003
Epic: LTZ-E0
GitLab issue: see imports/gitlab (title contains LTZ-S003)
Phase: 0",LTZ-E0,LTZ-E0,,High,"ltz,phase-0,goldimage,ssh,yubikey",4,LTZ-S003
Story,[LTZ-S004] Inventories and credential design,"Define linux_pilot, linux_workstations, linux_servers, spire_infra. Credential patterns without secrets in git.

Estimate: 16h (P0-04)

Story: LTZ-S004
Epic: LTZ-E0
GitLab issue: see imports/gitlab (title contains LTZ-S004)
Phase: 0",LTZ-E0,LTZ-E0,,High,"ltz,phase-0,awx,inventory",4,LTZ-S004
