title,description,issue_type,labels,weight,milestone
"[EPIC LTZ-E0] Phase 0 — Foundations (AWX, repos, goldimage)","Deploy new AWX, GitLab repos, integrate goldimage SSH/YubiKey baselines, agile imports.

**Jira Epic:** LTZ-E0
**Phase:** 0
**Weight (SP):** 40

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-0,LTZ-E0",10,LTZ Phase 0
[EPIC LTZ-E1] Phase 1 — Device trust & TPM Entra CBA,"Intune Linux, trust agent, TPM-CBA no-USB, Conditional Access pilot.

**Jira Epic:** LTZ-E1
**Phase:** 1
**Weight (SP):** 105

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-1,LTZ-E1",10,LTZ Phase 1
[EPIC LTZ-E1B] Phase 1b — Workload MS CA certificates,"Workload intermediate, agent certs, reduce static secrets / service account privilege.

**Jira Epic:** LTZ-E1B
**Phase:** 1b
**Weight (SP):** 40

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-1b,LTZ-E1B",10,LTZ Phase 1b
[EPIC LTZ-E2] Phase 2 — SPIRE workload identity fabric,"SPIRE HA, UpstreamAuthority, server/k8s agents, pilot mTLS.

**Jira Epic:** LTZ-E2
**Phase:** 2
**Weight (SP):** 60

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-2,LTZ-E2",10,LTZ Phase 2
[EPIC LTZ-E3] Phase 3 — Federation & GA,"Entra workload federation, expand CA, GA evidence.

**Jira Epic:** LTZ-E3
**Phase:** 3
**Weight (SP):** 35

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-3,LTZ-E3",10,LTZ Phase 3
"[EPIC LTZ-EX] Cross-cutting — Entra REQs, governance, PM","REQ-E catalog execution support, architecture, agile hygiene.

**Jira Epic:** LTZ-EX
**Phase:** X
**Weight (SP):** 45

Architecture: workstation-environment repo docs/",issue,"epic,ltz,phase-X,LTZ-EX",10,LTZ Phase X
[LTZ-S001] Deploy AWX open-source instance,"Deploy new AWX (OSS) with backup, RBAC, network access to managed hosts and CA endpoints. Isolated from unrelated automation if required.

Estimate: 40h (P0-01)
Repo: zt-awx-config, infra as code as applicable
DoD: AWX healthy; admin access documented; restore tested once.

**Jira Story:** LTZ-S001
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 10
**Est hours:** ~40

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,awx,platform",10,LTZ Phase 0
[LTZ-S002] Create GitLab repos and CI lint,"Create zt-awx-config and zt-spire-config; ansible-lint/yaml CI; protect main; MR required.

Estimate: 16h (P0-02)
Links: workstation-environment docs

**Jira Story:** LTZ-S002
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 4
**Est hours:** ~16

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,gitlab,ci",4,LTZ Phase 0
[LTZ-S003] Integrate goldimage baseline job,"Add AWX project for goldimage (SSH + YubiKey admin baselines). Job template runs/asserts before ZT packs.

Estimate: 16h (P0-03)
Repo: goldimage

**Jira Story:** LTZ-S003
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 4
**Est hours:** ~16

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,goldimage,ssh,yubikey",4,LTZ Phase 0
[LTZ-S004] Inventories and credential design,"Define linux_pilot, linux_workstations, linux_servers, spire_infra. Credential patterns without secrets in git.

Estimate: 16h (P0-04)

**Jira Story:** LTZ-S004
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 4
**Est hours:** ~16

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,awx,inventory",4,LTZ Phase 0
[LTZ-S005] Import Jira/GitLab agile structure,"Import epics/stories into Jira; import GitLab issues; verify cross-links.

Estimate: 24h (P0-05)
Files: imports/jira, imports/gitlab

**Jira Story:** LTZ-S005
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 6
**Est hours:** ~24

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,jira,gitlab,pm",6,LTZ Phase 0
[LTZ-S006] RACI and architecture workshop,"Workshop: planes (user/device/workload), goldimage vs ZT packs, Entra REQ process.

Estimate: 16h (P0-06)

**Jira Story:** LTZ-S006
**Jira Epic:** LTZ-E0
**Phase:** 0
**Story points:** 4
**Est hours:** ~16

## Repos
- workstation-environment (docs)
- zt-awx-config (playbooks)
- goldimage (admin baseline)
- sssd-hybrid (done — do not break)
- zt-spire-config (phase 2+)

## Entra
See docs/implementation/ENTRA_REQUESTS.md for REQ-E* if IAM needed.",issue,"story,ltz,phase-0,LTZ-E0,architecture",4,LTZ Phase 0
