BacklogKey,Type,Summary,Phase,EstimateHours,JiraKey,GitLabProject,GitLabIID,Notes
LZT-E1,Epic,"P0 Foundations — AWX, repos, goldimage glue",P0,160,,lzt-program,,Fill JiraKey/IID after import
LZT-E2,Epic,P1 Device trust — Intune + trust agent,P1,140,,lzt-program,,Fill JiraKey/IID after import
LZT-E3,Epic,P2 Workload identity — MS CA certs + systemd harden,P2,160,,lzt-program,,Fill JiraKey/IID after import
LZT-E4,Epic,P3 SPIRE platform,P3,160,,lzt-program,,Fill JiraKey/IID after import
LZT-E5,Epic,P4 User TPM-CBA no-USB,P4,180,,lzt-program,,Fill JiraKey/IID after import
LZT-E6,Epic,P5 Enforce CA + GA readiness,P5,80,,lzt-program,,Fill JiraKey/IID after import
LZT-E7,Epic,"P6 Scale, ops handoff, docs",P6,48,,lzt-program,,Fill JiraKey/IID after import
LZT-S01,Story,Deploy AWX OSS instance,P0,40,,lzt-program,,LZT-E1
LZT-S02,Story,AWX configuration as code project,P0,24,,lzt-program,,LZT-E1
LZT-S03,Story,Consume goldimage playbooks by version pin,P0,16,,lzt-program,,LZT-E1
LZT-S04,Story,Pilot inventory and RBAC model,P0,16,,lzt-program,,LZT-E1
LZT-S05,Story,Submit Entra/PKI request catalog week 1,P0,24,,lzt-program,,LZT-E1
LZT-S06,Story,Import Jira and GitLab backlogs,P0,8,,lzt-program,,LZT-E1
LZT-S07,Story,Optional AWX Entra SSO app registration,P0,16,,lzt-program,,LZT-E1
LZT-S08,Story,Trust agent MVP (status.json + timer),P1,40,,lzt-program,,LZT-E2
LZT-S09,Story,Intune Linux enrollment runbook + packages,P1,24,,lzt-program,,LZT-E2
LZT-S10,Story,Custom compliance discovery + JSON rules,P1,32,,lzt-program,,LZT-E2
LZT-S11,Story,Built-in compliance: distro + encryption,P1,16,,lzt-program,,LZT-E2
LZT-S12,Story,policy_gen marker from AWX enforce jobs,P1,16,,lzt-program,,LZT-E2
LZT-S13,Story,Workload Intermediate CA + templates delivered,P2,24,,lzt-program,,LZT-E3
LZT-S14,Story,AWX role: service cert enroll + renew,P2,40,,lzt-program,,LZT-E3
LZT-S15,Story,Systemd unit hardening pack for agents,P2,24,,lzt-program,,LZT-E3
LZT-S16,Story,Migrate pilot agents off static tokens,P2,32,,lzt-program,,LZT-E3
LZT-S17,Story,Compliance fields for workload cert health,P2,16,,lzt-program,,LZT-E3
LZT-S18,Story,SPIRE trust domain + server HA design,P3,24,,lzt-program,,LZT-E4
LZT-S19,Story,Deploy SPIRE server HA,P3,40,,lzt-program,,LZT-E4
LZT-S20,Story,UpstreamAuthority to MS CA Workload Intermediate,P3,24,,lzt-program,,LZT-E4
